trade_area,x
WCI/MED,42292.426118602096
MED/ECSAM,33955.73430809399
USWC / CBS,29473.787566431667
FAR EAST/WAF,27919.742852914107
Baltic Sea/North Spain,27470.13677987685
ECC / USG,27003.676922857256
USG / WC MEX,26939.691981122924
USGC / ECSAM,26134.73996101364
CONT/BALTIC SEA,25490.792440707635
BLACK SEA/RED SEA,24346.82385267981
USG/WCI,24132.10431154381
WEST FAR EAST/ARA,22775.50717837388
UK CONT / SOUTH AFRICA,22336.999612486547
SPAIN/WAF,22334.738721351026
Med/Red Sea,21641.609692352864
ARA / FAR EAST,21040.76094228202
ECC / USWC,20646.459644969902
NSEA,20493.582984013043
ARA,20454.964868449184
Far East/UKC,20444.068457187557
AG/MED,20431.941671269935
RED SEA / WAF,20421.18845750928
USG/West Far East,20322.073365091168
Baltic/WAF,20299.14246043126
RED SEA/MED,20223.116392675114
USAC/CARIBS,20126.73531803911
SCAN/FAR EAST,20122.945208130233
CARIBS/FAR EAST,20057.073646709978
WEST FAR EAST/USG,19918.683577429183
Baltic/Med,19740.889894811124
WEST FAR EAST/FAR EAST,19434.490262069372
WEST FAR EAST/WAF,19158.72185598813
USWC,19107.07224883028
RED SEA / FAR EAST,19079.206806435683
USG/MED,18951.932504637956
USG/SOUTH AMERICA,18951.448074255928
AG/ARA,18904.267536282125
RED SEA,18896.01093557375
MED/FAR EAST,18695.279570897335
FAR EAST/WCA,18548.343657602436
US Gulf/WCA,18538.64901618882
Med/WAF,18492.878353719978
UK Cont/WAF,18484.427549949207
RED SEA / SCAN,18389.378425992778
RED SEA / ARA,18371.677938167548
Caribs/WCA,18247.050377513995
WAF/CARIBS,18099.94075159338
WEST FAR EAST / SOUTH AFRICAN AREA,18098.425400732718
AG/UKC,18050.557194249548
ECC/CARIBS,17982.149602283473
USG/Far East,17876.012292847285
AG / SOUTH AFRICAN AREA,17875.735509761147
USAC / SOUTH AMERICA,17862.25828330445
SOUTH AMERICA / CARIBS,17833.99000963143
AG/FAR EAST,17816.191343996998
FAR EAST / NEW ZEALAND,17808.32347931861
USG/ECC,17792.705532977114
WCA/CARIBS,17684.372189679598
CROSS AUSTRALIA,17648.37566487973
FAR EAST/AUSTRALIA,17646.992321451562
Baltic Sea/WAF,17645.391194015414
Baltic Sea / ECC,17558.566571817395
TA,17335.266418027193
Scan/Med,17104.173559642855
FAR EAST/ARA,17101.957362932073
ARA/RED SEA,17083.851568699516
ARA/WAF,17055.98186766532
WAF/US Gulf,16987.56909787396
Caribs/USWC,16854.49481849141
ECC/USAC,16780.60727838982
RED SEA/AG,16770.393009014595
WAF/FAR EAST,16739.85063379678
Scan/WAF,16681.617272874497
US/WCI,16592.709156179382
Cont/Scan,16578.602256413647
FAR EAST / RED SEA,16507.670175392097
AG/CONT,16498.681120209043
NORTH SPAIN,16400.111146492753
WC America,16350.516202579809
CARIBS/WAF,16284.865378412538
AG/SOUTH AMERICA,16266.356317123134
BLACK SEA/FAR EAST,16154.26898011383
SCAN / BALTIC SEA,16088.382555877806
USAC/WCA,15986.779546854264
USG/USWC,15973.964034892912
Barents Sea / SCAN,15963.61332722259
BALTIC / FAR EAST,15919.95505262299
FAR EAST/USAC,15906.241285695733
WCC / WC MEX,15866.510391713007
WEST FAR EAST/BALTIC,15823.435173299102
WAF/UK CONT,15788.200948291578
SCAN/UK,15752.951820281005
USG/Caribs,15738.76043429778
FAR EAST/EAF,15690.838862013163
NORTH SEA TO FAR EAST,15644.916840703418
AG/EC AFRICA,15602.19047967572
SINGAPORE/AUSTRALIA,15587.365106319643
ARA/ UK CONT,15555.028712367204
USG/WAF,15518.888569782224
UK Cont/Med,15511.109284311065
RED SEA/UKC,15473.615113725107
MED/BRAZIL,15393.636307291943
CARIBS/ECC,15347.325075777297
WAF,15229.40785346084
EAST AFRICA,15200.87786896561
Baltic Sea/Med,15170.345818126458
Transatlantic,15080.122197708472
WC AMERICA/FAR EAST,15071.260445463433
UK CONT,15000.511255314133
AG/RED SEA,14930.476306206065
USG/North Sea,14875.497892114323
ARA/Med,14808.689894773892
BARENTS SEA/BALTIC SEA,14752.088681211046
WHITE SEA/ARA,14734.220370520694
ARA/BALTIC SEA,14611.306745043395
WAF/BALTIC SEA,14548.841207682084
EC Mex/USG,14548.697279380916
ARA/CONT,14501.888796492003
Cross Caribs,14492.71829107094
Baltic Sea/Cont,14365.170427019013
BLACK SEA/WAF,14311.023110935957
Cont/WAF,14249.41613261027
ARABIAN GULF/CONT,14190.209753291188
Med/Cont,14180.100861060475
Caribs/US Gulf,14177.058597664023
Baltic Sea/UK Cont,14123.167325897726
USG/BRAZIL,14110.330011803164
Baltic Sea,14104.804241906251
Med,14097.375829199284
Baltic/USG,14011.520373121935
ARA/BRAZIL,13986.326594262313
MED/SCAN,13953.246333971572
WEST FAR EAST / UKC,13873.912217280222
US GULF,13791.871404574014
USG/ECMEX,13772.55555612414
Scan/Cont,13654.4774493777
BARENTS SEA / UK CONT,13617.564611417203
WAF/BLACK SEA,13581.390426454218
WCI/UK CONT,13426.653556797019
CARIBS/SOUTH AMERICA,13400.449151131483
Baltic Sea/ARA,13380.02121956151
MED/AG,13376.799287707361
USWC / WC MEX,13365.195495996697
WEST FAR EAST/WC AMERICA,13284.822743217166
ARA/Scan,13199.828980508893
UK CONT/FAR EAST,13176.828983130243
FAR EAST/SOUTH AMERICA,13114.371071374551
WCI/EAST AFRICA,13063.570002773527
USG/RED SEA,13059.649666718306
MED/SA,13018.892116448009
Cont/ARA,12930.292749178578
MED/UK CONT,12829.790415328951
WEST FAR EAST/RED SEA,12795.104866357276
Black Sea/UK Cont,12762.95262004729
WAF/CONT,12734.450690526603
Baltic Sea/Scan,12702.9329958285
USWC/ECC,12690.359589454622
ARA / AG,12673.999680532179
SOUTH AMERICA,12666.944867903652
Scan/ARA,12555.7832063151
Cross Med,12532.885451518452
BARENTS SEA/ARA,12531.106445412097
CONT,12518.322650526414
BARENTS SEA / MED,12512.899423177767
BLACK SEA/SCAN,12510.605794044859
Med/ARA,12429.961338498815
USA - TA,12426.994834632953
WEST FAR EAST / BLACK SEA,12324.253653141632
MED / BALTIC SEA,12313.117057723884
Caribs/ARA,12301.775710076969
WAF/SCAN,12299.516044692267
AG,12260.529527889987
USG / CENTRAL AMERICA,12167.801133642128
Black Sea/Med,12165.294195543791
Black Sea/Cont,12150.468581409497
SOUTH AMERCIA / FAR EAST,12129.92508630752
WCI/Red Sea,12127.706688480255
FAR EAST,12086.539723378266
USAC/ECC,12066.712891626717
UAE/UK CONT,12017.827294341412
West Far East,11952.784693353133
ECC/MED,11890.907961279136
NSEA / SAFR,11880.477432957086
AG/ECI,11869.081386426138
CONT/UK CONT,11851.531999412398
UK / ICELAND,11784.61417217449
FAR EAST/ ECI,11782.078907317085
UK Cont/ARA,11762.798514511427
WAF/ARA,11554.82085487336
EAST AFRICA / WCI,11453.348944694415
WEST FAR EAST/SOUTH AMERICA,11343.748765055596
Black Sea/ARA,11322.293827252211
Scan,11234.057049172845
ARA/ARABIAN GULF,11234.020317412744
Far East,11152.278345678767
BARENTS SEA / CONT,11110.582089521307
BLACK SEA / BALTIC SEA,11085.747641409711
SOUTH AMERICA / MED,11080.472282853601
SOUTH AMERICA / WEST FAR EAST,11059.753688734487
Caribs/USG,10998.370348869288
WAF/USAC,10991.187520727603
FAR EAST/INDIAN OCEAN,10916.618885193842
BRAZIL/USG,10872.3652447651
AG / WEST FAR EAST,10848.414731506693
AG/USG,10820.5223445558
UK CONT/CONT,10714.75581997869
WEST FAR EAST/USAC,10693.234354225517
Cont/Med,10592.516473069043
AG/USAC,10508.572477414182
USWC / SOUTH AMERICA,10498.857286394761
RED SEA / EAST AFRICA,10412.879457874393
ATLANTIC,10197.848808730832
UK Cont/Scan,10064.866246055475
ARA/USEC,9996.074288939708
ARA/ECA,9934.724429277205
USG/Cont,9867.89341886528
WC AMERICA/USG,9816.346831607187
EC MEX / SOUTH AMERICA,9810.01811103506
Black Sea,9698.72623964715
INDIAN OCEAN,9601.876989349377
WC CANADA / USAC,9493.965745830212
CONT/BRAZIL,9446.979861303746
Caribs/USAC,9416.768807200006
Baltic Sea & ARA,9414.896937930416
Med/North Spain,9387.574181340473
Med/Caribs,9347.573281452658
Med/Black Sea,9194.77903339095
NZ/WCI,9119.457892736613
PG-WCI,9107.716297367588
WCI / CONT,9090.70650523292
SOUTH AFRICA/ARA,9006.981125933511
SOUTH AFRICA / AG,8905.922151300238
WAF/MED,8880.55384084401
SOUTH AFRICA/AUSTRALIA,8853.464966131693
WCI / WEST FAR EAST,8811.156026000743
Brazil/USEC,8553.89752592848
FAR EAST/WCI,8510.582147050125
ECSA/PG,8371.689757778116
ECI/FAR EAST,8367.713726486452
ECC/SOUTH AMERICA,8356.305586593398
WCI / AUSTRALIA,8157.877726891568
ARA / PAKISTAN,8103.202664437723
FAR EAST / AG,8067.4937568926025
SOUTH AMERICA/USG,7821.748214180357
BRAZIL/FAR EAST,7788.848901910795
ARA/North Spain,7635.7796358732285
ARA/GOA,7396.483884049283
SOUTH AMERICA / USAC,7370.1799922432565
FAR EAST/MED,7334.689964757722
ARA/USG,7272.082378540955
WCI / ARA,7202.4440735829685
EC AFRICA / ARA,7167.12339230553
UK CONT / AG,6979.268455353359
WEST FAR EAST / AG,6545.115080282814
UAE/FAR EAST,6530.846158860327
White Sea/Far East,6500.326365952383
AUSTRALIA/FAR EAST,6423.056965262795
MED/USA,6395.85050923157
NSEA/ CBS,6075.115043304461
WCI / FAR EAST,6044.005894952042
EC MEX / CARIBS,6037.977266519889
SOUTH AFRICA/WCI,5714.722986111286
WCC/Far East,5450.793267326732
Black Sea/USG,5327.081287559396
SPAIN/ARA,5051.794701667237
Black Sea/USEC,4561.72104131137
BLACK SEA/AG,4496.819640942405
NCSA/MED,4263.035311916889
WC AMERICA/ARA,4204.127012985647
WEST FAR EAST/UEA,3370.0385022219916
SCAN/AG,3218.7741708059575
WCI,2846.1369442419923
UEA/EAST AFRICA,2496.763817145621
UAE,1919.8846063939154
AUSTRALIA/UK CONT,1820.9297864376906
Baltic/Cont,1634.3539399853662
ECMEX / USAC,527.5441324340899
SOUTH AFRICA / WAF,-434.400580326918
ARA/NSPAIN,-6455.75201773836
BALTIC/SAUDI RED SEA,-9456.400714510877
