trade_area,x
Transatlantic,19031114.213508092
Baltic Sea/ARA,7840692.434663044
Cross Med,7782921.865392959
FAR EAST,6780548.784815207
Black Sea/Med,6520597.688811472
Baltic Sea/Cont,5975910.897639909
ARA/WAF,4656283.049872632
USG/ECMEX,4200629.444617863
USG/Caribs,3950428.8690087423
Baltic Sea/UK Cont,3785008.8433405906
USA - TA,3690817.465885987
AG/FAR EAST,3652319.2255193847
AG,2819921.791414697
FAR EAST/AUSTRALIA,2523519.9019675734
USG/SOUTH AMERICA,2501591.1458017826
Far East,2074323.7722962508
WC America,1978412.460512157
Cross Caribs,1942024.251003506
Cont/ARA,1900753.0341292508
ECC/USAC,1795524.978787711
Med/WAF,1756823.4436033978
AG/EC AFRICA,1685036.571804978
USG / WC MEX,1616381.5188673756
Baltic Sea,1607947.6835773126
WAF,1599087.8246133882
AG/MED,1471099.8003314352
Med,1423834.9587491278
RED SEA,1360512.78736131
ARA/Med,1258738.6410557807
Baltic Sea/Med,1198457.3196319903
Med/ARA,1131126.4818033923
Caribs/USAC,1092345.1816352007
AG/RED SEA,1089924.7703530428
ARA / FAR EAST,1030997.286171819
FAR EAST/WAF,977190.9998519938
RED SEA / FAR EAST,877643.5130960413
USWC,859818.2511973627
Baltic Sea/Scan,825690.6447288526
ARA/ UK CONT,808861.4930430946
USG/ECC,800671.7489839701
UK Cont/ARA,788107.5004722656
Caribs/US Gulf,737207.0470785293
Black Sea,737103.1942131834
UK CONT,735025.0515103925
MED/FAR EAST,729115.9032649961
SCAN/UK,724635.7837329262
Scan/Med,701271.115945357
West Far East,693261.5122144817
UK Cont/WAF,683923.8193481206
AG/UKC,649820.0589929837
Med/Red Sea,649248.2907705859
Baltic Sea/WAF,617588.6917905395
RED SEA/MED,586470.3753875784
SINGAPORE/AUSTRALIA,545557.7787211875
AG/ARA,529319.4910158995
EC Mex/USG,523753.102057713
BARENTS SEA/ARA,513775.364261896
CONT,513251.228671583
Cont/Med,508440.7907073141
ARA/CONT,507566.1078772201
Scan/ARA,502231.328252604
USG/Far East,500528.344199724
WCI/EAST AFRICA,496415.660105394
ARA,490919.15684278036
INDIAN OCEAN,489695.72645681823
Cont/WAF,484480.14850874915
FAR EAST/WCA,482256.9350976633
FAR EAST/ARA,478854.806162098
Caribs/USWC,471925.8549177595
US GULF,468923.6277555165
Med/Cont,453763.2275539352
SOUTH AMERICA / WEST FAR EAST,453449.90123811393
RED SEA/AG,452800.6112433941
US Gulf/WCA,444927.5763885317
USAC/CARIBS,442788.1769968605
Scan/Cont,423288.8009307087
ECC/CARIBS,413589.4408525198
RED SEA / ARA,404176.914639686
USG/West Far East,386119.3939367322
WAF/ARA,381309.08821082086
AG/CONT,379469.665764808
Scan,370723.8826227039
WEST FAR EAST/FAR EAST,369255.31497931806
USG/BRAZIL,366868.5803068823
BALTIC / FAR EAST,366158.96621032874
MED/UK CONT,359234.13162921066
Black Sea/Cont,352363.5888608754
WAF/USAC,351718.0006632833
USWC / WC MEX,347495.08289591415
AUSTRALIA/FAR EAST,346845.07612419093
SCAN/FAR EAST,342090.06853821396
Caribs/USG,329951.1104660787
WAF/US Gulf,322763.8128596052
USG/MED,322182.8525788452
Black Sea/ARA,305701.9333358097
ATLANTIC,295737.6154531941
UK Cont/Med,294711.0764019103
TA,294699.5291064623
USG / CENTRAL AMERICA,292027.2272074111
SOUTH AMERICA,291339.731961784
BARENTS SEA / CONT,288875.13432755397
CROSS AUSTRALIA,282374.0106380757
FAR EAST/WCI,272338.628705604
WAF/MED,266416.61522532033
FAR EAST / RED SEA,264122.72280627355
USAC/WCA,255788.47274966823
FAR EAST / NEW ZEALAND,249316.52871046055
US/WCI,248890.63734269072
EAST AFRICA,243214.04590344976
BLACK SEA/FAR EAST,242314.03470170745
Caribs/WCA,237211.65490768192
AG/SOUTH AMERICA,227728.98843972388
ARA/BRAZIL,209794.89891393468
USG/WAF,201745.5514071689
MED/AG,200651.9893156104
Scan/WAF,200179.40727449395
MED/BRAZIL,184723.6356875033
AG / WEST FAR EAST,184423.05043561375
Baltic Sea & ARA,178883.04182067793
CONT/UK CONT,177772.97999118597
FAR EAST/USAC,174968.65414265305
UK CONT/CONT,171436.09311965905
ARA/RED SEA,170838.51568699515
WCI/Red Sea,169787.8936387236
SOUTH AMERICA / MED,166207.084242804
WCI / FAR EAST,163188.15916370513
ARA/BALTIC SEA,160724.37419547734
WEST FAR EAST/ARA,159428.55024861713
FAR EAST/SOUTH AMERICA,157372.4528564946
WEST FAR EAST / AG,157082.76192678756
Baltic/USG,154126.7241043413
WEST FAR EAST/RED SEA,153541.2583962873
MED/SCAN,153485.7096736873
WC AMERICA/FAR EAST,150712.60445463433
Caribs/ARA,147621.30852092363
BLACK SEA/RED SEA,146080.94311607885
UK CONT/FAR EAST,144945.11881443267
USG/USWC,143765.67631403622
Barents Sea / SCAN,143672.51994500333
Baltic/Med,138186.22926367787
USAC/ECC,132733.84180789388
WCI/MED,126877.2783558063
SOUTH AMERICA / CARIBS,124837.93006742002
RED SEA/UKC,123788.92090980086
Far East/UKC,122664.41074312534
MED/USA,121521.15967539983
CARIBS/SOUTH AMERICA,120604.04236018335
WEST FAR EAST/WC AMERICA,119563.4046889545
WAF/FAR EAST,117178.95443657746
WEST FAR EAST/WAF,114952.33113592876
WAF/CONT,114610.05621473942
RED SEA / EAST AFRICA,114541.67403661832
